signal,start,end,ts,component,unit,subcomponent,value,elapsed,rolled_value
jcarbon.emissions.Emissions,2024-06-05 16:54:35.872286319,2024-06-05 16:54:35.876464366,5878331820507057.0,jcarbon.nvml.NvmlEstimatedEnergy,GRAMS_OF_CO2,device=0:name=Quadro P5000,2.156903704173345e-05,0.0,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.872286319,2024-06-05 16:54:35.876464366,5878331820507057.0,jcarbon.nvml.NvmlTotalEnergy,GRAMS_OF_CO2,device=0:name=Quadro P5000,0.0,0.0,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.876464366,2024-06-05 16:54:35.880639553,5878331820507057.0,jcarbon.nvml.NvmlEstimatedEnergy,GRAMS_OF_CO2,device=0:name=Quadro P5000,2.1554272381130214e-05,0.004178047,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.876464366,2024-06-05 16:54:35.880639553,5878331820507057.0,jcarbon.nvml.NvmlTotalEnergy,GRAMS_OF_CO2,device=0:name=Quadro P5000,0.0,0.004178047,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.878339401,2024-06-05 16:54:35.878860731,5878331820507057.0,process=3828103,GRAMS_OF_CO2,process=3828103:task=3828107,4.056710693657473e-07,0.006053082,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.878339401,2024-06-05 16:54:35.878860731,5878331820507057.0,process=3828103,GRAMS_OF_CO2,process=3828103:task=3828259,8.113421387314946e-07,0.006053082,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.878339401,2024-06-05 16:54:35.878860731,5878331820507057.0,process=3828103,GRAMS_OF_CO2,process=3828103:task=3828282,8.113421387314946e-07,0.006053082,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.878339401,2024-06-05 16:54:35.878860731,5878331820507057.0,process=3828103,GRAMS_OF_CO2,process=3828103:task=3829253,8.113421387314946e-07,0.006053082,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.878339401,2024-06-05 16:54:35.878860731,5878331820507057.0,process=3828103,GRAMS_OF_CO2,process=3828103:task=3829271,4.056710693657473e-07,0.006053082,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.878339401,2024-06-05 16:54:35.885865431,5878331820507057.0,os=Linux,GRAMS_OF_CO2,socket=0,4.685082597477521e-05,0.006053082,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.878860731,2024-06-05 16:54:35.885831182,5878331820507057.0,process=3828103,GRAMS_OF_CO2,process=3828103:task=3828246,4.339225152792346e-05,0.006574412,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.880639553,2024-06-05 16:54:35.884812593,5878331820507057.0,jcarbon.nvml.NvmlEstimatedEnergy,GRAMS_OF_CO2,device=0:name=Quadro P5000,2.154318856074031e-05,0.008353234,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.880639553,2024-06-05 16:54:35.884812593,5878331820507057.0,jcarbon.nvml.NvmlTotalEnergy,GRAMS_OF_CO2,device=0:name=Quadro P5000,0.0,0.008353234,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.884812593,2024-06-05 16:54:35.888985633,5878331820507057.0,jcarbon.nvml.NvmlEstimatedEnergy,GRAMS_OF_CO2,device=0:name=Quadro P5000,2.154318856074031e-05,0.012526274,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.884812593,2024-06-05 16:54:35.888985633,5878331820507057.0,jcarbon.nvml.NvmlTotalEnergy,GRAMS_OF_CO2,device=0:name=Quadro P5000,0.0,0.012526274,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.885865431,2024-06-05 16:54:35.886328630,5878331820507057.0,process=3828103,GRAMS_OF_CO2,process=3828103:task=3828246,2.9954388479787645e-06,0.013579112,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.885865431,2024-06-05 16:54:35.892938496,5878331820507057.0,os=Linux,GRAMS_OF_CO2,socket=0,4.574045642429909e-05,0.013579112,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.888985633,2024-06-05 16:54:35.893170356,5878331820507057.0,jcarbon.nvml.NvmlEstimatedEnergy,GRAMS_OF_CO2,device=0:name=Quadro P5000,2.1603501683057635e-05,0.016699314,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.888985633,2024-06-05 16:54:35.893170356,5878331820507057.0,jcarbon.nvml.NvmlTotalEnergy,GRAMS_OF_CO2,device=0:name=Quadro P5000,0.00017727107153413515,0.016699314,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.892938496,2024-06-05 16:54:35.899739761,5878331820507057.0,os=Linux,GRAMS_OF_CO2,socket=0,4.6817201799100815e-05,0.020652177,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.893170356,2024-06-05 16:54:35.897352933,5878331820507057.0,jcarbon.nvml.NvmlEstimatedEnergy,GRAMS_OF_CO2,device=0:name=Quadro P5000,3.771296418388328e-05,0.020884037,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.893170356,2024-06-05 16:54:35.897352933,5878331820507057.0,jcarbon.nvml.NvmlTotalEnergy,GRAMS_OF_CO2,device=0:name=Quadro P5000,0.0,0.020884037,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.893203456,2024-06-05 16:54:35.899705849,5878331820507057.0,process=3828103,GRAMS_OF_CO2,process=3828103:task=3828103,4.4759885882708664e-05,0.020917137,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.897352933,2024-06-05 16:54:35.901541233,5878331820507057.0,jcarbon.nvml.NvmlEstimatedEnergy,GRAMS_OF_CO2,device=0:name=Quadro P5000,3.776456665145875e-05,0.025066614,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.897352933,2024-06-05 16:54:35.901541233,5878331820507057.0,jcarbon.nvml.NvmlTotalEnergy,GRAMS_OF_CO2,device=0:name=Quadro P5000,0.0,0.025066614,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.899739761,2024-06-05 16:54:35.899843122,5878331820507057.0,process=3828103,GRAMS_OF_CO2,process=3828103:task=3828103,7.296761955647175e-07,0.027453442,
